,Unnamed: 0,Reason for Absence,Date,Transportation Expense,Distance to Work,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,Unnamed: 0,27,28,29,30,31,32,33,34,36,37,38,39,40,41,43,46,47,48,49,50,58
0,0,26,07/07/2015,289,36,239.554,30,1,2,1,4,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,0,14/07/2015,118,13,239.554,31,1,1,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,2,23,15/07/2015,179,51,239.554,31,1,0,0,2,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3,3,7,16/07/2015,279,5,239.554,24,1,2,0,4,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
4,4,23,23/07/2015,289,36,239.554,30,1,2,1,2,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,5,23,10/07/2015,179,51,239.554,31,1,0,0,2,5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
6,6,22,17/07/2015,361,52,239.554,27,1,1,4,8,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,7,23,24/07/2015,260,50,239.554,23,1,4,0,4,7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
8,8,19,06/07/2015,155,12,239.554,25,1,2,0,40,8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
9,9,22,13/07/2015,235,11,239.554,29,3,1,1,8,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
10,10,1,20/07/2015,260,50,239.554,23,1,4,0,8,10,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
11,11,1,14/07/2015,260,50,239.554,23,1,4,0,8,11,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
12,12,11,15/07/2015,260,50,239.554,23,1,4,0,8,12,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
13,13,11,15/07/2015,179,51,239.554,31,1,0,0,1,13,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
14,14,23,15/07/2015,179,51,239.554,31,1,0,0,4,14,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
15,15,14,17/07/2015,246,25,239.554,23,1,0,0,8,15,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
16,16,23,17/07/2015,179,51,239.554,31,1,0,0,2,16,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
17,17,21,27/07/2015,179,51,239.554,31,1,0,0,8,17,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
18,18,11,30/07/2015,189,29,239.554,25,1,2,2,8,18,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,19,23,05/08/2015,248,25,205.917,32,1,2,1,2,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
20,20,10,12/08/2015,330,16,205.917,25,2,0,0,8,20,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,21,11,03/08/2015,179,51,205.917,31,1,0,0,1,21,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
22,22,13,10/08/2015,361,52,205.917,27,1,1,4,40,22,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,23,28,14/08/2015,260,50,205.917,23,1,4,0,4,23,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
24,24,18,17/08/2015,289,36,205.917,30,1,2,1,8,24,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,25,25,24/08/2015,361,52,205.917,27,1,1,4,7,25,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,26,23,04/08/2015,289,36,205.917,30,1,2,1,1,26,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,27,28,12/08/2015,157,27,205.917,22,1,0,0,4,27,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,28,18,19/08/2015,289,36,205.917,30,1,2,1,8,28,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,29,23,28/08/2015,179,51,205.917,31,1,0,0,2,29,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
30,30,18,17/08/2015,179,51,205.917,31,1,0,0,8,30,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
31,31,18,27/08/2015,235,29,205.917,33,1,1,5,8,31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
32,32,23,27/08/2015,235,11,205.917,29,3,1,1,4,32,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
33,33,18,17/08/2015,235,29,205.917,33,1,1,5,8,33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
34,34,23,17/08/2015,179,51,205.917,31,1,0,0,2,34,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
35,35,23,17/08/2015,361,52,205.917,27,1,1,4,1,35,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,36,24,04/08/2015,289,36,205.917,30,1,2,1,8,36,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,37,11,20/08/2015,291,50,205.917,23,1,0,0,4,37,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,38,28,21/08/2015,235,29,205.917,33,1,1,5,8,38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
39,39,23,28/08/2015,260,50,205.917,23,1,4,0,4,39,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
40,40,23,01/09/2015,184,42,241.476,21,1,0,0,2,40,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,41,23,07/09/2015,118,10,241.476,28,1,0,0,4,41,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
42,42,23,01/09/2015,179,51,241.476,31,1,0,0,4,42,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
43,43,19,08/09/2015,235,20,241.476,38,1,1,0,8,43,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
